"ISO3","Name","Admin Level","Metric","Units","Year","Value"
"DJI","Djibouti","admin0","Clinical Cases","Cases",2000,2566.466658361669
"DJI","Djibouti","admin0","Clinical Cases","Cases",2001,2481.3232477827964
"DJI","Djibouti","admin0","Clinical Cases","Cases",2002,2759.01879726791
"DJI","Djibouti","admin0","Clinical Cases","Cases",2003,16214.4494112938
"DJI","Djibouti","admin0","Clinical Cases","Cases",2004,1488.196553175714
"DJI","Djibouti","admin0","Clinical Cases","Cases",2005,2891.6265074903704
"DJI","Djibouti","admin0","Clinical Cases","Cases",2006,8137.918292224537
"DJI","Djibouti","admin0","Clinical Cases","Cases",2007,1584.014597803959
"DJI","Djibouti","admin0","Clinical Cases","Cases",2008,845.507492834139
"DJI","Djibouti","admin0","Clinical Cases","Cases",2009,7964.549004280358
"DJI","Djibouti","admin0","Clinical Cases","Cases",2010,2526.736259999659
"DJI","Djibouti","admin0","Clinical Cases","Cases",2011,81.54440409815813
"DJI","Djibouti","admin0","Clinical Cases","Cases",2012,55.49159206992104
"DJI","Djibouti","admin0","Clinical Cases","Cases",2013,3325.713276933552
"DJI","Djibouti","admin0","Clinical Cases","Cases",2014,21128.427222244212
"DJI","Djibouti","admin0","Clinical Cases","Cases",2015,20489.610946198125
"DJI","Djibouti","admin0","Clinical Cases","Cases",2016,27849.551123862915
"DJI","Djibouti","admin0","Clinical Cases","Cases",2017,22394.939166876615
"DJI","Djibouti","admin0","Clinical Cases","Cases",2018,37916.49507575046
"DJI","Djibouti","admin0","Clinical Cases","Cases",2019,82352.93077948519
"DJI","Djibouti","admin0","Clinical Cases","Cases",2020,99948.49470654002
"DJI","Djibouti","admin0","Clinical Cases","Cases",2021,96244.15444100281
"DJI","Djibouti","admin0","Clinical Cases","Cases",2022,70119.11584588046
"DJI","Djibouti","admin0","Clinical Cases","Cases",2023,69488.93526230106
"DJI","Djibouti","admin0","Clinical Cases","Cases",2024,104285.27970948564
"DJI","Djibouti","admin0","Deaths","Deaths",2000,16.641239434056455
"DJI","Djibouti","admin0","Deaths","Deaths",2001,16.128433723125212
"DJI","Djibouti","admin0","Deaths","Deaths",2002,17.87985369057181
"DJI","Djibouti","admin0","Deaths","Deaths",2003,111.9371787520598
"DJI","Djibouti","admin0","Deaths","Deaths",2004,10.158930896856688
"DJI","Djibouti","admin0","Deaths","Deaths",2005,19.21257768360121
"DJI","Djibouti","admin0","Deaths","Deaths",2006,62.82432377599444
"DJI","Djibouti","admin0","Deaths","Deaths",2007,11.787148376990872
"DJI","Djibouti","admin0","Deaths","Deaths",2008,5.86239327604724
"DJI","Djibouti","admin0","Deaths","Deaths",2009,56.736598439399664
"DJI","Djibouti","admin0","Deaths","Deaths",2010,19.060511060756507
"DJI","Djibouti","admin0","Deaths","Deaths",2011,0.635747419511286
"DJI","Djibouti","admin0","Deaths","Deaths",2012,0.320428348396961
"DJI","Djibouti","admin0","Deaths","Deaths",2013,18.535810911426406
"DJI","Djibouti","admin0","Deaths","Deaths",2014,135.28818910103564
"DJI","Djibouti","admin0","Deaths","Deaths",2015,120.92574744337327
"DJI","Djibouti","admin0","Deaths","Deaths",2016,158.39935215114178
"DJI","Djibouti","admin0","Deaths","Deaths",2017,125.49788399537796
"DJI","Djibouti","admin0","Deaths","Deaths",2018,243.4465401779839
"DJI","Djibouti","admin0","Deaths","Deaths",2019,208.9709482225856
"DJI","Djibouti","admin0","Deaths","Deaths",2020,259.4500616662329
"DJI","Djibouti","admin0","Deaths","Deaths",2021,244.35661238455845
"DJI","Djibouti","admin0","Deaths","Deaths",2022,183.37437291795584
"DJI","Djibouti","admin0","Deaths","Deaths",2023,127.09103368911023
"DJI","Djibouti","admin0","Deaths","Deaths",2024,144.20612464944102
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2000,4486293.520324643
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2001,7900851.7499878565
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2002,8637446.604206378
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2003,11247355.764472386
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2004,15486796.299416108
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2005,12776875.772101458
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2006,10660266.596393837
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2007,9216967.636969002
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2008,7810060.075325908
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2009,11699599.135057053
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2010,13395858.032324992
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2011,11251967.90719664
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2012,12531320.55363697
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2013,15046167.689236786
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2014,7933434.606325821
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2015,7703189.586606437
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2016,6460874.105198343
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2017,5717362.079980327
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2018,4992071.281253512
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2019,4032541.439290012
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2020,7211527.43855849
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2021,5758788.13478939
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2022,7310962.1946092425
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2023,12760999.899112653
"ETH","Ethiopia","admin0","Clinical Cases","Cases",2024,8384935.281799636
"ETH","Ethiopia","admin0","Deaths","Deaths",2000,13577.422655381579
"ETH","Ethiopia","admin0","Deaths","Deaths",2001,28737.078727674598
"ETH","Ethiopia","admin0","Deaths","Deaths",2002,28489.016630934002
"ETH","Ethiopia","admin0","Deaths","Deaths",2003,35033.833444046606
"ETH","Ethiopia","admin0","Deaths","Deaths",2004,45438.283616659515
"ETH","Ethiopia","admin0","Deaths","Deaths",2005,35690.119089274405
"ETH","Ethiopia","admin0","Deaths","Deaths",2006,30340.60019328685
"ETH","Ethiopia","admin0","Deaths","Deaths",2007,25131.008606493917
"ETH","Ethiopia","admin0","Deaths","Deaths",2008,19359.375418272044
"ETH","Ethiopia","admin0","Deaths","Deaths",2009,24652.62008730096
"ETH","Ethiopia","admin0","Deaths","Deaths",2010,26565.17515705078
"ETH","Ethiopia","admin0","Deaths","Deaths",2011,21180.337584547084
"ETH","Ethiopia","admin0","Deaths","Deaths",2012,23336.35357817633
"ETH","Ethiopia","admin0","Deaths","Deaths",2013,23952.024801680775
"ETH","Ethiopia","admin0","Deaths","Deaths",2014,13479.022470271677
"ETH","Ethiopia","admin0","Deaths","Deaths",2015,13851.588868315033
"ETH","Ethiopia","admin0","Deaths","Deaths",2016,10763.684384396185
"ETH","Ethiopia","admin0","Deaths","Deaths",2017,10892.401115892242
"ETH","Ethiopia","admin0","Deaths","Deaths",2018,9683.005619163034
"ETH","Ethiopia","admin0","Deaths","Deaths",2019,7218.047317950157
"ETH","Ethiopia","admin0","Deaths","Deaths",2020,11960.457115931218
"ETH","Ethiopia","admin0","Deaths","Deaths",2021,9085.905471940407
"ETH","Ethiopia","admin0","Deaths","Deaths",2022,10092.626612602031
"ETH","Ethiopia","admin0","Deaths","Deaths",2023,12280.424069128558
"ETH","Ethiopia","admin0","Deaths","Deaths",2024,14407.153124465942
"KEN","Kenya","admin0","Clinical Cases","Cases",2000,6854427.006730979
"KEN","Kenya","admin0","Clinical Cases","Cases",2001,7838176.725128547
"KEN","Kenya","admin0","Clinical Cases","Cases",2002,7578369.4329943275
"KEN","Kenya","admin0","Clinical Cases","Cases",2003,7571836.350875577
"KEN","Kenya","admin0","Clinical Cases","Cases",2004,6485702.480761258
"KEN","Kenya","admin0","Clinical Cases","Cases",2005,4996248.662484996
"KEN","Kenya","admin0","Clinical Cases","Cases",2006,3838579.0384508586
"KEN","Kenya","admin0","Clinical Cases","Cases",2007,2959302.802528433
"KEN","Kenya","admin0","Clinical Cases","Cases",2008,2546866.719814147
"KEN","Kenya","admin0","Clinical Cases","Cases",2009,2546489.369143264
"KEN","Kenya","admin0","Clinical Cases","Cases",2010,2702242.3413207424
"KEN","Kenya","admin0","Clinical Cases","Cases",2011,2855834.2907443983
"KEN","Kenya","admin0","Clinical Cases","Cases",2012,2998396.5127095985
"KEN","Kenya","admin0","Clinical Cases","Cases",2013,3129263.3955312516
"KEN","Kenya","admin0","Clinical Cases","Cases",2014,3173670.6713662324
"KEN","Kenya","admin0","Clinical Cases","Cases",2015,3135036.5612356095
"KEN","Kenya","admin0","Clinical Cases","Cases",2016,2984925.7159947115
"KEN","Kenya","admin0","Clinical Cases","Cases",2017,3006158.0285723372
"KEN","Kenya","admin0","Clinical Cases","Cases",2018,2920842.1618394707
"KEN","Kenya","admin0","Clinical Cases","Cases",2019,2849492.4681060323
"KEN","Kenya","admin0","Clinical Cases","Cases",2020,3052485.0332460515
"KEN","Kenya","admin0","Clinical Cases","Cases",2021,3191849.698027761
"KEN","Kenya","admin0","Clinical Cases","Cases",2022,3160858.295182046
"KEN","Kenya","admin0","Clinical Cases","Cases",2023,3081995.0379534224
"KEN","Kenya","admin0","Clinical Cases","Cases",2024,3058857.137630896
"KEN","Kenya","admin0","Deaths","Deaths",2000,10352.447809533604
"KEN","Kenya","admin0","Deaths","Deaths",2001,11845.36259453046
"KEN","Kenya","admin0","Deaths","Deaths",2002,11122.242644035035
"KEN","Kenya","admin0","Deaths","Deaths",2003,11765.506949045277
